Date,Open,High,Low,Close,Adj Close,Volume
2012-06-26,269.299988,273.950012,268.250000,272.049988,255.778900,657490
2012-06-27,271.750000,277.000000,271.750000,274.350006,257.941284,169600
2012-06-28,273.475006,275.700012,271.250000,273.500000,259.173248,121880
2012-06-29,276.500000,282.500000,276.500000,281.750000,266.991119,369538
2012-07-02,282.500000,287.500000,280.125000,286.924988,271.895020,497078
2012-07-03,287.375000,290.149994,286.000000,287.399994,272.345123,196732
2012-07-04,287.500000,290.149994,287.475006,288.799988,273.671753,408458
2012-07-05,289.750000,292.250000,287.649994,291.274994,276.017059,1023350
2012-07-06,291.299988,294.200012,289.924988,291.649994,276.372498,279118
2012-07-09,290.500000,290.524994,284.524994,288.825012,273.695465,201000
2012-07-10,287.500000,295.500000,287.500000,294.200012,278.788910,298378
2012-07-11,294.000000,296.774994,292.524994,293.524994,278.149231,174234
2012-07-12,294.225006,294.649994,287.750000,289.924988,274.737885,186538
2012-07-13,291.149994,295.774994,291.149994,293.424988,278.054504,596760
2012-07-16,293.625000,296.250000,290.350006,291.450012,276.182922,239578
2012-07-17,292.049988,294.274994,289.299988,291.500000,276.230347,274306
2012-07-18,291.500000,294.325012,290.174988,293.424988,278.054504,152820
2012-07-19,293.549988,295.450012,292.750000,294.549988,279.120544,163292
2012-07-20,294.500000,294.500000,290.524994,291.424988,276.159241,87318
2012-07-23,290.000000,290.000000,285.725006,286.850006,271.823975,104646
2012-07-24,285.000000,288.075012,285.000000,287.075012,272.037201,139796
2012-07-25,287.450012,290.200012,287.125000,287.750000,272.676758,93670
2012-07-26,289.000000,289.500000,281.500000,283.250000,268.412476,119842
2012-07-27,288.950012,294.000000,282.299988,292.125000,276.822632,319448
2012-07-30,293.125000,295.950012,292.000000,293.549988,278.172943,130264
2012-07-31,294.500000,294.825012,290.000000,293.924988,278.528320,137636
2012-08-01,292.575012,294.424988,289.149994,293.500000,278.125610,146322
2012-08-02,292.500000,294.674988,288.649994,291.225006,275.969757,1000570
2012-08-03,291.000000,294.500000,289.774994,294.125000,278.717865,119308
2012-08-06,296.774994,300.950012,296.500000,299.875000,284.166687,426758
2012-08-07,301.049988,301.399994,298.350006,299.899994,284.190308,1229990
2012-08-08,300.500000,300.575012,297.549988,298.750000,283.100616,443320
2012-08-09,300.000000,303.424988,299.075012,302.424988,286.583008,208702
2012-08-10,300.000000,303.450012,299.649994,301.024994,285.256439,1039002
2012-08-13,300.000000,304.850006,300.000000,303.700012,287.791290,368358
2012-08-14,302.549988,304.500000,301.250000,303.875000,287.957092,622846
2012-08-16,303.774994,303.774994,298.850006,300.174988,284.450897,157610
2012-08-17,301.000000,301.000000,296.049988,297.600006,282.010773,117350
2012-08-21,297.500000,299.200012,294.024994,298.375000,282.745239,541880
2012-08-22,298.250000,300.299988,296.000000,298.524994,282.887329,418056
2012-08-23,298.549988,302.149994,297.524994,298.750000,283.100616,341066
2012-08-24,298.000000,300.075012,296.850006,298.174988,282.555664,429140
2012-08-27,297.500000,299.325012,295.924988,297.399994,281.821289,175490
2012-08-28,297.500000,297.500000,293.500000,294.674988,279.239014,306718
2012-08-29,294.000000,297.649994,293.500000,294.674988,279.239014,203566
2012-08-30,294.700012,299.399994,293.649994,297.575012,281.987152,433414
2012-08-31,299.250000,299.899994,294.799988,297.524994,281.939728,198106
2012-09-03,297.500000,298.625000,293.875000,295.075012,279.618103,198442
2012-09-04,295.049988,296.049988,293.799988,294.950012,279.499634,280810
2012-09-05,295.000000,298.000000,292.875000,296.000000,280.494568,505780
2012-09-06,295.024994,296.799988,292.700012,293.299988,277.936035,271130
2012-09-07,296.500000,297.149994,293.024994,295.049988,279.594421,303296
2012-09-08,null,null,null,null,null,null
2012-09-10,296.450012,298.500000,294.774994,295.424988,279.949738,484654
2012-09-11,296.000000,297.850006,291.774994,296.575012,281.039551,121682
2012-09-12,297.500000,300.000000,296.850006,299.600006,283.906036,218744
2012-09-13,300.000000,300.524994,296.750000,298.924988,283.266418,97046
2012-09-14,302.500000,307.325012,300.524994,306.049988,290.018158,894962
2012-09-17,308.500000,310.000000,302.549988,303.725006,287.815002,818892
2012-09-18,303.725006,305.799988,301.774994,302.875000,287.009491,175246
2012-09-20,300.000000,305.000000,299.524994,303.450012,287.554413,169260
2012-09-21,303.500000,314.000000,302.575012,312.625000,296.248749,545150
2012-09-24,313.000000,318.274994,311.325012,317.225006,300.607758,596898
2012-09-25,317.350006,319.225006,313.149994,318.299988,301.626495,232380
2012-09-26,319.625000,319.625000,312.075012,315.125000,298.617767,223354
2012-09-27,317.299988,317.924988,313.000000,314.799988,298.309784,155576
2012-09-28,315.500000,317.274994,313.274994,314.350006,297.883423,374870
2012-10-01,315.000000,316.100006,310.049988,311.600006,295.277466,448314
2012-10-03,311.649994,313.350006,309.100006,309.649994,293.429626,233440
2012-10-04,310.000000,316.500000,310.000000,315.475006,298.949463,563478
2012-10-05,318.000000,319.350006,302.250000,310.975006,294.685242,415352
2012-10-08,311.200012,313.475006,308.500000,310.424988,294.163971,218454
2012-10-09,312.450012,315.000000,311.075012,312.825012,296.438263,109040
2012-10-10,312.825012,312.825012,308.500000,309.075012,292.884705,243598
2012-10-11,308.375000,313.850006,308.375000,312.274994,295.917053,418982
2012-10-12,315.000000,317.575012,313.075012,315.200012,298.688873,675812
2012-10-15,317.399994,317.399994,311.500000,316.350006,299.778625,208158
2012-10-16,316.350006,317.250000,314.000000,314.850006,298.357178,166708
2012-10-17,315.000000,315.799988,312.750000,313.250000,296.841034,203908
2012-10-18,314.225006,318.500000,312.799988,317.649994,301.010529,107432
2012-10-19,318.000000,318.000000,313.549988,314.125000,297.670166,100644
2012-10-22,314.399994,319.950012,313.399994,319.549988,302.810974,179150
2012-10-23,320.000000,320.000000,316.049988,316.649994,300.062958,601006
2012-10-25,316.500000,320.000000,314.524994,318.549988,301.863373,163002
2012-10-29,318.500000,321.200012,317.375000,320.274994,303.497955,276778
2012-10-30,320.000000,322.450012,315.000000,316.975006,300.370880,456348
2012-10-31,316.975006,317.924988,315.075012,317.274994,300.655182,132682
2012-11-01,318.000000,318.000000,314.000000,314.450012,297.978180,252172
2012-11-02,317.000000,317.924988,314.250000,315.649994,299.115295,88698
2012-11-05,317.250000,318.100006,315.274994,317.575012,300.939453,213924
2012-11-06,316.000000,320.500000,316.000000,319.899994,303.142639,97038
2012-11-07,319.774994,322.524994,318.475006,320.075012,303.308502,396580
2012-11-08,320.000000,320.450012,318.000000,319.350006,302.621429,66158
2012-11-09,320.000000,321.450012,317.500000,319.649994,302.905731,52864
2012-11-11,null,null,null,null,null,null
2012-11-12,319.000000,326.424988,319.000000,325.575012,308.520416,1936102
2012-11-15,325.000000,325.000000,319.750000,322.899994,305.985504,174498
2012-11-16,324.424988,324.424988,320.000000,321.225006,304.398285,356204
2012-11-19,321.500000,324.500000,320.049988,324.000000,307.027924,85232
2012-11-20,325.000000,327.500000,324.250000,326.174988,309.088959,271286
2012-11-21,326.000000,332.899994,324.600006,331.200012,313.850739,414286
2012-11-22,332.500000,335.500000,332.024994,334.625000,317.096313,312784
2012-11-23,335.000000,336.250000,329.950012,334.750000,317.214752,121084
2012-11-26,335.000000,335.274994,330.325012,331.174988,313.826996,85428
2012-11-27,332.950012,341.899994,332.500000,340.100006,322.284515,289802
2012-11-29,340.100006,351.750000,335.000000,349.375000,331.073700,821782
2012-11-30,350.450012,352.500000,344.725006,351.825012,333.395355,220258
2012-12-03,350.000000,350.000000,342.024994,343.500000,325.506470,542452
2012-12-04,343.100006,344.975006,340.649994,342.325012,324.393005,268784
2012-12-05,344.000000,347.475006,344.000000,346.174988,328.041290,150638
2012-12-06,347.500000,349.325012,340.450012,347.000000,328.823090,683510
2012-12-07,347.024994,348.950012,344.000000,346.250000,328.112335,426090
